doc_id,content_type,source_language,target_language,client,brand,tone,source_segment,mt_segment,pe_segment,translation_direction
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,COMPREI UM E-BOOK E NÃO #PRS_ORG# ACESSA-LO!,I bought AN E-BOOK AND NOT #PRS_ORG# access it!,I PURCHASED AN E-BOOK #PRS_ORG# AND CAN'T ACCESS IT!,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#EMAIL#,#EMAIL#,#EMAIL#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,A NEUROCIENCIA DA FELICIDADE,The Neuroscience of FELICITY,THE NEUROSCIENCE OF HAPPINESS,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you for the information.,Obrigado pela informação.,Obrigado pela informação.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I will be more than happy to assist you.,Terei todo o prazer em ajudá-lo!,Terei todo o prazer em ajudá-lo.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Nice to meet you, #NAME#.","Prazer em conhecê-la, #NAME#.","Prazer em conhecê-lo, #NAME#.",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I hope you are having a great day!,Espero que você esteja tendo um ótimo dia!,Espero que você esteja tendo um ótimo dia!,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Can you please provide me with another eBook title in your account so I can verify it?,Você pode me fornecer outro título e-book em sua conta para que eu possa verificá-lo?,Você pode me fornecer outro título de e-book em sua conta para que eu possa verificar?,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"NUNCA COMPREI, ERA MINHA PRIMEIRO E-BOOK","Never bought, WE MY FIRST E-BOOK","NEVER PURCHASED ONE, IT WAS MY FIRST E-BOOK",customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,MINHA PRIMEIRA,My FIRST,MY FIRST,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,COMPRA,Purchase,PURCHASE,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Can you please provide me with your postal code so I can verify your account.,Você pode me fornecer seu código postal para que eu possa verificar sua conta.,Você pode me fornecer seu código postal para que eu possa verificar sua conta.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,CEP?,Cep?,CEP?,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Your postal code so I can verify your account.,Seu código postal para que eu possa verificar sua conta.,Seu código postal para que eu possa verificar sua conta.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,O QUE CÓDIGO POSTAL?,What IS THE POSTAL CODE?,WHAT POSTCODE?,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,You can also provide me with your billing address so I can verify your account.,Você também pode me fornecer seu endereço de faturamento para que eu possa verificar sua conta.,Você também pode me fornecer seu endereço de faturamento para que eu possa verificar sua conta.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#ADDRESS#,#ADDRESS#,#ADDRESS#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#ADDRESS#,#ADDRESS#,#ADDRESS#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#ADDRESS#,#ADDRESS#,#ADDRESS#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,CEP #PHONENUMBER#,Cep #PHONENUMBER#,CEP #PHONENUMBER#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#ADDRESS#,#ADDRESS#,#ADDRESS#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you very much.,Agradeço.,Muito obrigado.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Can I please know where the eBook was purchased?,Posso saber onde o e-book foi comprado?,Posso saber onde o e-book foi comprado?,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,REGIÃO OUN EM QUAL APARELHO?,Region OTHER IN WHICH APARELHO?,PLACE OR DEVICE?,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Can I know if it was purchased through #PRS_ORG# or one of our partners?,Posso saber se foi comprado através da #PRS_ORG# ou de um dos nossos parceiros?,Posso saber se foi comprado através da #PRS_ORG# ou de um dos nossos parceiros?,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#PRS_ORG#,#PRS_ORG#,#PRS_ORG#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you.,Obrigado!,Obrigado.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,You're unable to see your eBook because your account isn't linked to #PRS_ORG#.,Você não consegue ver seus e-book porque sua conta não está vinculada à #PRS_ORG#.,Você não consegue ver seus e-book porque sua conta não está vinculada à #PRS_ORG#.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,You'll need to link them.,Você precisará vinculá-los.,Você precisará vinculá-los.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Please do the following steps so you can link your account to #PRS_ORG#,"Por favor, faça as seguintes etapas para que você possa vincular sua conta à #PRS_ORG#","Por favor, faça as seguintes etapas para que você possa vincular sua conta à #PRS_ORG#",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Go to #URL#.,Acesse #URL#,Acesse #URL#,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Sign in to your account.,Entre na sua conta.,Entre na sua conta.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click  My Account at the top right of the screen.,Clique em Minha conta no canto superior direito da tela.,Clique em Minha conta no canto superior direito da tela.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click Account Settings.,Clique em Configurações da Conta.,Clique em Configurações da Conta.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Under Sign In Options at the bottom of the page, click link besides #PRS_ORG#","Em Opções de login na parte inferior da página, clique em link além da #PRS_ORG#","Em Opções de login na parte inferior da página, clique no link ao lado de #PRS_ORG#",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I just need to refresh this interaction every two minutes so if you could let me know how's everything going that'd be great.,Eu só preciso atualizar essa interação a cada dois minutos para que você possa me avisar como tudo vai que seria ótimo.,"Só preciso atualizar essa interação a cada dois minutos, então, se você puder me informar como está tudo, seria ótimo.",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,EU NÃO TENHO CERTEZA DO EMAIL.,I don't have anything to do with the EMAIL.,I'M NOT SURE OF THE EMAIL,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,QUE UTILIZEI NA CONTA #PRS_ORG#..,That I used IN THE #PRS_ORG# ACCOUNT..,I USED IN THE #PRS_ORG# ACCOUNT.,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I apologize but since the purchase was made thorough #PRS_ORG# you'll need to link your account to your #PRS_ORG# account.,"Peço desculpas, mas como a compra foi feita na #PRS_ORG#, você precisará vincular sua conta à sua conta da #PRS_ORG#.","Peço desculpas, mas como a compra foi feita na #PRS_ORG#, você precisará vincular sua conta à sua conta da #PRS_ORG#.",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,consegui acessar a conta #PRS_ORG#,I was able to access the #PRS_ORG# account,I managed to access the #PRS_ORG# account.,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"porem no canto direito , após clicar em login não encontrei o link da #PRS_ORG#","However in the right corner, after clicking login I did not find the link of the #PRS_ORG#","However, in the right corner, after clicking Log in, I couldn't find the #PRS_ORG# link",customer
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you, now please link your account with the following steps","Obrigado, agora, por favor, vincule sua conta com as seguintes etapas","Obrigado, agora, por favor, vincule sua conta com as seguintes etapas",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click My Account at the top right of the screen.,Clique em Minha conta no canto superior direito da tela.,Clique em Minha conta no canto superior direito da tela.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click Account Settings.,Clique em Configurações da Conta.,Clique em Configurações da Conta.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Under Sign In Options at the bottom of the page, click link besides #PRS_ORG#","Em Opções de login na parte inferior da página, clique em link além da #PRS_ORG#","Em Opções de login na parte inferior da página, clique no link ao lado de #PRS_ORG#",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-7,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,The 'My account' option is located at the top right of the website.,"A opção ""Minha conta"" está localizada no canto superior direito do site.","A opção ""Minha conta"" está localizada no canto superior direito do site.",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Não localizo o livro comprado,I do not locate the purchased book,I can't find the book I bought.,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Oi #NAME#,Oi #NAME#,"Hello #NAME#,",customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,estava falando com sua colega,I was talking to your colleague,I was talking to your colleague,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#EMAIL#,#EMAIL#,#EMAIL#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,por volta do dia 05/01,Around the day 05/01,around 05/01,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"foi a única compra, fiz pela #PRS_ORG#.","It was the only purchase, made by the #PRS_ORG#.","It was the only purchase, from #PRS_ORG#.",customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Aparece uma msg de que o livro foi integrado ao #PRS_ORG#,An msg appears that the book was integrated into #PRS_ORG#,A message appears that the book has been delivered to #PRS_ORG#,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Hello #NAME#!,"Olá, #NAME#!","Olá, #NAME#!",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"I can see that you were already chatting with another agent, would you like me to check if they’re available?",Percebo que você já estava conversando com outro agente. Deseja que eu verifique se eles estão disponíveis?,Vejo que você já esteve conversando com outro agente. Você quer que eu verifique se ele está disponível?,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I can also continue assisting you if you would prefer.,"Também posso continuar ajudando você, se preferir.","Se você preferir, eu também posso continuar ajudando você.",agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,aí fui acessar esse app e não tem nada lá,Then I went to access this app and there's nothing there,"When I access this app, there is nothing there.",customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,vc que sabe.,You know.,You know.,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,A pessoa disse que ia mandar um livro pra minha conta e era pra eu falar pra ela qual livro,The person said he was going to send a book to my account and it was for me to tell her which book,"She said she would send a book to my account, and I was supposed to tell her which book.",customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you!,Obrigado!,Obrigado!,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"I see that you don't have link #PRS_ORG# account to that email, can you please help us linked them?","Eu vejo que você não tem vinculado a conta da #PRS_ORG# a esse e-mail, você pode nos ajudar a vinculá-los?",Vejo que você não tem a conta do #PRS_ORG# vinculada a esse e-mail. Você pode nos ajudar a vinculá-los?,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,You need this so the purchases can appear on #PRS_ORG# as well,Você precisa disso para que as compras possam aparecer também no #PRS_ORG#,Isso é necessário para que as compras apareçam também no #PRS_ORG#,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,ok,OK.,OK.,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,pt-br,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,como faço,How do I do it,How do I do it?,customer
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,1,1,1,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Go to #URL#.,Acesse #URL#,Acesse #URL#.,agent
en_pt-br_#CLIENT-02#_default_2021-01-10-10,chat,en,pt-br,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,2,2,2,agent
